rawg_id,title,released,metacritic,rating,ratings_count,platforms,genres,tags,esrb_rating,playtime,publishers,developers,rawg_url
3498,Grand Theft Auto V,2013-09-17,92.0,4.47,7259,PC|PlayStation 5|Xbox Series S/X|PlayStation 4|PlayStation 3|Xbox 360|Xbox One,Strategy,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Co-op|Open World|cooperative|First-Person|Third Person|Funny|Sandbox|Comedy|Third-Person Shooter|Moddable|Crime|vr mod,Mature,74.0,Rockstar Games,Rockstar North|Rockstar Games,https://rawg.io/games/grand-theft-auto-v
3328,The Witcher 3: Wild Hunt,2015-05-18,92.0,4.64,7084,PlayStation 5|Xbox Series S/X|macOS|PlayStation 4|Nintendo Switch|PC|Xbox One,Action|RPG,Singleplayer|Full controller support|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Sandbox|Action RPG|Dark|Nudity|controller support|Choices Matter|Dark Fantasy|Mature|Medieval|Magic|Multiple Endings,Mature,43.0,CD PROJEKT RED,CD PROJEKT RED,https://rawg.io/games/the-witcher-3-wild-hunt
4200,Portal 2,2011-04-18,95.0,4.58,6018,PlayStation 3|PC|Xbox 360|Linux|macOS|Xbox One,Shooter|Puzzle,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Co-op|Story Rich|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Funny|Female Protagonist|Comedy|Local Co-Op|stats|Steam Workshop|Space|Includes level editor|Captions available|Commentary available|Science,Everyone 10+,11.0,Electronic Arts|Valve,Valve Software,https://rawg.io/games/portal-2
4291,Counter-Strike: Global Offensive,2012-08-21,81.0,3.57,3607,PC|Linux|Xbox 360|PlayStation 3,Shooter,Steam Achievements|Multiplayer|Full controller support|steam-trading-cards|Co-op|cooperative|First-Person|FPS|Online Co-Op|Tactical|stats|Steam Workshop|PvP|Moddable|War|In-App Purchases|Realistic|Team-Based|Fast-Paced|Military|Competitive|Valve Anti-Cheat enabled|e-sports|Trading,Mature,64.0,Valve,Valve Software|Hidden Path Entertainment,https://rawg.io/games/counter-strike-global-offensive
5286,Tomb Raider (2013),2013-03-05,86.0,4.06,4055,PlayStation 3|Xbox 360|macOS|PC,Action,Singleplayer|Multiplayer|Full controller support|Atmospheric|RPG|Third Person|Exploration|Classic|Female Protagonist|Stealth|Action-Adventure|Third-Person Shooter|Retro|Cinematic|Quick-Time Events|Dinosaurs|Lara Croft,Mature,10.0,Square Enix,Crystal Dynamics,https://rawg.io/games/tomb-raider
13536,Portal,2007-10-09,90.0,4.49,4946,macOS|PC|Android|PlayStation 3|Xbox 360|Linux|Nintendo Switch,Action|Puzzle,Singleplayer|Steam Achievements|Atmospheric|Great Soundtrack|Story Rich|First-Person|Sci-fi|Partial Controller Support|FPS|Funny|Classic|Female Protagonist|Comedy|Includes level editor|Captions available|Short|Physics|Dark Humor|Commentary available|Includes Source SDK|Science,Teen,4.0,Valve|Buka Entertainment|NVIDIA|CyberFront,Valve Software|NVIDIA Lightspeed Studios,https://rawg.io/games/portal
12020,Left 4 Dead 2,2009-11-17,89.0,4.09,3378,Xbox 360|Linux|PC|macOS,Action|Shooter,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Local Co-Op|Tactical|stats|Steam Workshop|Zombies|Moddable|Survival Horror|Post-apocalyptic|Captions available|Replay Value|Team-Based|Valve Anti-Cheat enabled|Commentary available|Includes Source SDK,Mature,9.0,Electronic Arts|Valve|Akella,Valve Software|Turtle Rock Studios,https://rawg.io/games/left-4-dead-2
5679,The Elder Scrolls V: Skyrim,2011-11-11,94.0,4.42,4856,PC|Xbox Series S/X|PlayStation 5|Xbox One|PlayStation 4|Nintendo Switch|Xbox 360|PlayStation 3,Action|RPG,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|Fantasy|Sandbox|Action RPG|Steam Workshop|role-playing|Moddable|Character Customization|Dark Fantasy|Medieval|Magic|Lore-Rich|Dragons,Mature,46.0,Bethesda Softworks,Bethesda Game Studios,https://rawg.io/games/the-elder-scrolls-v-skyrim
28,Red Dead Redemption 2,2018-10-26,96.0,4.59,5397,PC|PlayStation 4|Xbox One,Action,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Co-op|Story Rich|Open World|First-Person|Third Person|Partial Controller Support|FPS|Online Co-Op|Gore|Exploration|Sandbox|Violent|Third-Person Shooter|PvP|In-App Purchases|Realistic|Mature|Cinematic|Historical|Crime|Online PvP|3rd-Person Perspective|Blood|America|Masterpiece|Beautiful|Hunting|Western|3rd-person,Mature,21.0,Rockstar Games,Rockstar Games,https://rawg.io/games/red-dead-redemption-2
4062,BioShock Infinite,2013-03-26,94.0,4.38,4142,PlayStation 4|Xbox 360|Nintendo Switch|Linux|PC|PlayStation 3|Xbox One,Action|Shooter,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|First-Person|Sci-fi|FPS|Fantasy|Gore|Controller|Dystopian|Linear|Steampunk|Alternate History|Time Travel|Political,Mature,12.0,2K Games|Aspyr,Aspyr Media|2K Australia|Irrational Games,https://rawg.io/games/bioshock-infinite
